source,target,relationship,sentiment,url,article_source,date
Bashar al-Assad,Iran,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Obama,Recep Tayyip Erdogan,partners with,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Recep Tayyip Erdogan,al-Assad administration,opposes,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
United States,YPG,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Türkiye,al-Assad administration,opposes,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Recep Tayyip Erdogan,Hakan Fidan,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Russia,Bashar al-Assad,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Iran,Bashar al-Assad,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Benjamin Netanyahu,Syrians,supports,FRIENDLY,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Benjamin Netanyahu,al-Assad’s deposition,supports,FRIENDLY,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Türkiye,SNA,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
Donald Trump,Israel’s security,supports,NEUTRAL,https://www.euronews.com/2024/12/09/al-assads-reign-is-over-who-are-the-key-players-in-the-new-syria-and-who-stands-to-gain-or,french,2024-12-09
European Environmental Bureau,Commission,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,french,2025-03-24
European Environmental Bureau,Commission,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,german,2025-03-24
European Environmental Bureau,Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,french,2025-03-24
European Environmental Bureau,Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,german,2025-03-24
Pedro Sánchez,Ursula von der Leyen,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,french,2025-03-24
Pedro Sánchez,Ursula von der Leyen,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,german,2025-03-24
Giorgia Meloni,Ursula von der Leyen,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,french,2025-03-24
Giorgia Meloni,Ursula von der Leyen,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/24/environment-crunch-meeting-newsletter,german,2025-03-24
European Commission,EU,supports,NEUTRAL,https://www.euronews.com/next/2024/12/14/gender-pay-gap-in-europe-how-do-countries-compare-on-narrowing-the-divide,french,2024-12-14
European Commission,Member States,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
European leaders,European Commission,endorses,NEUTRAL,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
Magnus Brunner,Member States,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
Italy,Albania,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
Eve Geddie,European Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
Lukas Mandl,European Commission,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
Cecilia Strada,European Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/11/eu-lays-groundwork-for-building-deportation-centres-in-distant-countries,french,2025-03-11
Axel Voss,European Commission,criticizes,HOSTILE,https://www.euronews.com/next/2025/03/18/eu-commission-to-decide-whether-to-scrap-ai-liability-rules-by-august,french,2025-03-18
Axel Voss,European Commission,criticizes,HOSTILE,https://www.euronews.com/next/2025/03/18/eu-commission-to-decide-whether-to-scrap-ai-liability-rules-by-august,german,2025-03-18
Kosma Złotowski,AI Liability Directive,opposes,NEUTRAL,https://www.euronews.com/next/2025/03/18/eu-commission-to-decide-whether-to-scrap-ai-liability-rules-by-august,french,2025-03-18
Kosma Złotowski,AI Liability Directive,opposes,NEUTRAL,https://www.euronews.com/next/2025/03/18/eu-commission-to-decide-whether-to-scrap-ai-liability-rules-by-august,german,2025-03-18
Ursula von der Leyen,Cyril Ramaphosa,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
Ursula von der Leyen,Cyril Ramaphosa,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
Ursula von der Leyen,South Africa,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
Ursula von der Leyen,South Africa,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
European Commission,China,opposes,NEUTRAL,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
European Commission,China,opposes,NEUTRAL,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
Ursula von der Leyen,Trump administration,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
Ursula von der Leyen,Trump administration,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
Ursula von der Leyen,France,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
Ursula von der Leyen,France,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
Ursula von der Leyen,Deutschland,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
Ursula von der Leyen,Deutschland,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
Ursula von der Leyen,European Union,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,french,2025-03-13
Ursula von der Leyen,European Union,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/13/eu-targets-africas-mineral-wealth-and-green-energy-in-new-partnership,german,2025-03-13
Mark Zuckerberg,Meta,leads,NEUTRAL,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Meta,Instagram,partners with,NEUTRAL,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Meta,WhatsApp,partners with,NEUTRAL,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Meta,FTC,opposes,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Mark Zuckerberg,FTC,opposes,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Mark Zuckerberg,Donald Trump,lobbies,NEUTRAL,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Donald Trump,Meta,criticizes,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Meta,Donald Trump,supports,FRIENDLY,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Donald Trump,Alvaro Bedoya,opposes,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Donald Trump,Rebecca Kelly Slaughter,opposes,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Elon Musk,Donald Trump,partners with,NEUTRAL,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Mark Weinstein,Meta,criticizes,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
FTC,Meta,accuses,HOSTILE,https://www.euronews.com/next/2025/04/17/metas-antitrust-trial-everything-you-need-to-know-about-the-case-and-zuckerbergs-testimony,french,2025-04-17
Cillian O’Donoghue,Euronews,supports,NEUTRAL,https://www.euronews.com/green/2024/12/17/from-renewables-to-fossil-fuels-in-europe-how-does-your-country-generate-electricity,french,2024-12-17
Dimitar Glavchev,European Union,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/01/01/travel-freely-citizens-of-romania-and-bulgaria-celebrate-as-europes-borders-are-opened-to-,french,2025-01-01
Bulgaria,Greece,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/01/01/travel-freely-citizens-of-romania-and-bulgaria-celebrate-as-europes-borders-are-opened-to-,french,2025-01-01
Bulgaria,Romania,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/01/01/travel-freely-citizens-of-romania-and-bulgaria-celebrate-as-europes-borders-are-opened-to-,french,2025-01-01
Romania,Hungary,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/01/01/travel-freely-citizens-of-romania-and-bulgaria-celebrate-as-europes-borders-are-opened-to-,french,2025-01-01
Sofia Zastavnik,EMA,leads,NEUTRAL,https://www.euronews.com/health/2025/01/08/europe-launches-medicine-shortage-monitoring-in-2025,french,2025-01-08
EMA,industry,partners with,NEUTRAL,https://www.euronews.com/health/2025/01/08/europe-launches-medicine-shortage-monitoring-in-2025,french,2025-01-08
Laura Geslin,industry,accuses,NEUTRAL,https://www.euronews.com/health/2025/01/08/europe-launches-medicine-shortage-monitoring-in-2025,french,2025-01-08
Friedrich Merz,CDU,leads,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Friedrich Merz,CDU,leads,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Donald Trump,Europe,criticizes,HOSTILE,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Donald Trump,Europe,criticizes,HOSTILE,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Friedrich Merz,Emmanuel Macron,partners with,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Friedrich Merz,Emmanuel Macron,partners with,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Friedrich Merz,Keir Starmer,partners with,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Friedrich Merz,Keir Starmer,partners with,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Friedrich Merz,Donald Tusk,partners with,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Friedrich Merz,Donald Tusk,partners with,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Friedrich Merz,Ukraine,supports,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Friedrich Merz,Ukraine,supports,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Friedrich Merz,Scholz,criticizes,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Friedrich Merz,Scholz,criticizes,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
AfD,Friedrich Merz,opposes,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
AfD,Friedrich Merz,opposes,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Die Linke,Friedrich Merz,opposes,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,french,2025-02-24
Die Linke,Friedrich Merz,opposes,NEUTRAL,https://www.euronews.com/2025/02/24/germanys-election-winner-merz-aims-to-lead-europe-with-us-involvement-dwindling,german,2025-02-24
Erik Larsson,Turkey,criticizes,HOSTILE,https://www.euronews.com/2025/03/29/turkey-arrests-swedish-journalist-over-insulting-the-president-and-terrorism,french,2025-03-29
Turkey,Joakim Medin,accuses,NEUTRAL,https://www.euronews.com/2025/03/29/turkey-arrests-swedish-journalist-over-insulting-the-president-and-terrorism,french,2025-03-29
Turkey,Mark Lowen,deports,NEUTRAL,https://www.euronews.com/2025/03/29/turkey-arrests-swedish-journalist-over-insulting-the-president-and-terrorism,french,2025-03-29
Christian Democratic Union,SPD,partners with,NEUTRAL,https://www.euronews.com/2025/03/14/germanys-cdu-and-spd-reach-historic-debt-deal-to-jump-start-defence-spending,french,2025-03-14
Christian Democratic Union,SPD,partners with,NEUTRAL,https://www.euronews.com/2025/03/14/germanys-cdu-and-spd-reach-historic-debt-deal-to-jump-start-defence-spending,german,2025-03-14
Friedrich Merz,Greens,supports,NEUTRAL,https://www.euronews.com/2025/03/14/germanys-cdu-and-spd-reach-historic-debt-deal-to-jump-start-defence-spending,french,2025-03-14
Friedrich Merz,Greens,supports,NEUTRAL,https://www.euronews.com/2025/03/14/germanys-cdu-and-spd-reach-historic-debt-deal-to-jump-start-defence-spending,german,2025-03-14
Greens,Christian Democratic Union,opposes,NEUTRAL,https://www.euronews.com/2025/03/14/germanys-cdu-and-spd-reach-historic-debt-deal-to-jump-start-defence-spending,french,2025-03-14
Greens,Christian Democratic Union,opposes,NEUTRAL,https://www.euronews.com/2025/03/14/germanys-cdu-and-spd-reach-historic-debt-deal-to-jump-start-defence-spending,german,2025-03-14
Viktor Orban,European Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/28/orban-on-the-eus-survival-kit-proposal-are-these-people-up-to-something,french,2025-03-28
Viktor Orban,Brussels,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/03/28/orban-on-the-eus-survival-kit-proposal-are-these-people-up-to-something,french,2025-03-28
Brussels,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/03/28/orban-on-the-eus-survival-kit-proposal-are-these-people-up-to-something,french,2025-03-28
Viktor Orban,Ukraine,opposes,NEUTRAL,https://www.euronews.com/my-europe/2025/03/28/orban-on-the-eus-survival-kit-proposal-are-these-people-up-to-something,french,2025-03-28
United States,Ukraine,supports,NEUTRAL,https://www.euronews.com/2025/03/12/us-arms-shipped-to-ukraine-again-as-kremlin-mulls-ceasefire-proposal,french,2025-03-12
Marco Rubio,Ukraine,supports,FRIENDLY,https://www.euronews.com/2025/03/12/us-arms-shipped-to-ukraine-again-as-kremlin-mulls-ceasefire-proposal,french,2025-03-12
Trump administration,Ukraine,supports,NEUTRAL,https://www.euronews.com/2025/03/12/us-arms-shipped-to-ukraine-again-as-kremlin-mulls-ceasefire-proposal,french,2025-03-12
Trump administration,Volodymyr Zelensky,opposes,NEUTRAL,https://www.euronews.com/2025/03/12/us-arms-shipped-to-ukraine-again-as-kremlin-mulls-ceasefire-proposal,french,2025-03-12
Konstantin Kosachev,United States,criticizes,HOSTILE,https://www.euronews.com/2025/03/12/us-arms-shipped-to-ukraine-again-as-kremlin-mulls-ceasefire-proposal,french,2025-03-12
Donald Trump,Iran,criticizes,HOSTILE,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
Donald Trump,Benjamin Netanyahu,partners with,NEUTRAL,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
Donald Trump,Steve Witkoff,partners with,NEUTRAL,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
Iran,United States,opposes,HOSTILE,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
United States,Iran,opposes,HOSTILE,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
Donald Trump,Putin,supports,NEUTRAL,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
Israel,Hamas,opposes,HOSTILE,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
Israel,Hezbollah,opposes,HOSTILE,https://www.euronews.com/2025/04/09/do-new-us-iran-nuclear-talks-have-any-chance-of-success,french,2025-04-09
European Commission,Huawei,criticizes,NEUTRAL,https://www.euronews.com/next/2024/08/12/eleven-eu-countries-took-5g-security-measures-to-ban-huawei-zte,french,2024-08-12
EU,China,opposes,NEUTRAL,https://www.euronews.com/next/2024/08/12/eleven-eu-countries-took-5g-security-measures-to-ban-huawei-zte,french,2024-08-12
Italy,China,partners with,NEUTRAL,https://www.euronews.com/next/2024/08/12/eleven-eu-countries-took-5g-security-measures-to-ban-huawei-zte,french,2024-08-12
Giorgia Meloni,China,partners with,NEUTRAL,https://www.euronews.com/next/2024/08/12/eleven-eu-countries-took-5g-security-measures-to-ban-huawei-zte,french,2024-08-12
Deutschland,Huawei,opposes,NEUTRAL,https://www.euronews.com/next/2024/08/12/eleven-eu-countries-took-5g-security-measures-to-ban-huawei-zte,french,2024-08-12
Nancy Faeser,Huawei,opposes,NEUTRAL,https://www.euronews.com/next/2024/08/12/eleven-eu-countries-took-5g-security-measures-to-ban-huawei-zte,french,2024-08-12
EU executive,EPP,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
EPP,Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Smit,Commission,accuses,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Commission,NGOs,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
S&D,EPP,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Procaccini,EU executive,accuses,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Reintke,ECR,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Reintke,Donald Trump,compares,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Reintke,Orbán,compares,HOSTILE,https://www.euronews.com/my-europe/2025/04/02/commission-denies-singling-out-ngos-in-green-funding-row,french,2025-04-02
Claus Strunz,Euronews,leads,NEUTRAL,https://www.euronews.com/my-europe/2025/02/04/euronews-hits-record-audience-in-2024-strengthening-its-position-as-europes-leading-news-p,french,2025-02-04
Ali ihsan Aydin,Euronews,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/02/04/euronews-hits-record-audience-in-2024-strengthening-its-position-as-europes-leading-news-p,french,2025-02-04
European Commission,European Space Agency (ESA),partners with,NEUTRAL,https://www.euronews.com/next/2025/03/20/a-new-perspective-how-earth-observation-helps-tackle-global-challenges-euronews-tech-talks,french,2025-03-20
Emily Dowd,GhGSat,uses,NEUTRAL,https://www.euronews.com/next/2025/03/20/a-new-perspective-how-earth-observation-helps-tackle-global-challenges-euronews-tech-talks,french,2025-03-20
GhGSat,Copernicus Sentinel-5P,receives data from,NEUTRAL,https://www.euronews.com/next/2025/03/20/a-new-perspective-how-earth-observation-helps-tackle-global-challenges-euronews-tech-talks,french,2025-03-20
Kaja Kallas,Ukraine,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
Volodymyr Zelensky,Ukraine,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
European Council,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
António Costa,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
Hungary,Kaja Kallas plan,opposes,HOSTILE,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
France,Kaja Kallas plan,opposes,NEUTRAL,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
Italy,Kaja Kallas plan,opposes,NEUTRAL,https://www.euronews.com/my-europe/2025/03/21/kaja-kallas-40-billion-plan-for-ukraine-flounders-at-eu-summit,french,2025-03-21
Iran,United States,partners with,NEUTRAL,https://www.euronews.com/2025/04/12/iran-and-us-to-hold-talks-to-jump-start-negotiations-over-tehrans-advancing-nuclear-progra,french,2025-04-12
Donald Trump,Iran,criticizes,HOSTILE,https://www.euronews.com/2025/04/12/iran-and-us-to-hold-talks-to-jump-start-negotiations-over-tehrans-advancing-nuclear-progra,french,2025-04-12
United States,Tehran,supports,NEUTRAL,https://www.euronews.com/2025/04/12/iran-and-us-to-hold-talks-to-jump-start-negotiations-over-tehrans-advancing-nuclear-progra,french,2025-04-12
Ali Shamkhani,United States,criticizes,HOSTILE,https://www.euronews.com/2025/04/12/iran-and-us-to-hold-talks-to-jump-start-negotiations-over-tehrans-advancing-nuclear-progra,french,2025-04-12
Viktor Orban,South Heves,visits,NEUTRAL,https://www.euronews.com/2025/04/10/hungarys-government-launces-war-on-drugs-but-ignores-root-causes,french,2025-04-10
Viktor Orban,South Heves,visits,NEUTRAL,https://www.euronews.com/2025/04/10/hungarys-government-launces-war-on-drugs-but-ignores-root-causes,german,2025-04-10
Péter Sárosi,Hungary,criticizes,HOSTILE,https://www.euronews.com/2025/04/10/hungarys-government-launces-war-on-drugs-but-ignores-root-causes,french,2025-04-10
Péter Sárosi,Hungary,criticizes,HOSTILE,https://www.euronews.com/2025/04/10/hungarys-government-launces-war-on-drugs-but-ignores-root-causes,german,2025-04-10
László Horváth,Péter Sárosi,opposes,NEUTRAL,https://www.euronews.com/2025/04/10/hungarys-government-launces-war-on-drugs-but-ignores-root-causes,french,2025-04-10
László Horváth,Péter Sárosi,opposes,NEUTRAL,https://www.euronews.com/2025/04/10/hungarys-government-launces-war-on-drugs-but-ignores-root-causes,german,2025-04-10
United States,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,french,2025-02-25
United States,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,german,2025-02-25
Donald Trump,Volodymyr Zelensky,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,french,2025-02-25
Donald Trump,Volodymyr Zelensky,criticizes,HOSTILE,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,german,2025-02-25
Keir Stamer,Volodymyr Zelensky,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,french,2025-02-25
Keir Stamer,Volodymyr Zelensky,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,german,2025-02-25
Olaf Scholz,Volodymyr Zelensky,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,french,2025-02-25
Olaf Scholz,Volodymyr Zelensky,supports,FRIENDLY,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,german,2025-02-25
Donald Trump,Vladimir Putin,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,french,2025-02-25
Donald Trump,Vladimir Putin,partners with,NEUTRAL,https://www.euronews.com/my-europe/2025/02/25/exclusive-us-to-offer-ukraine-security-for-resources-fund-sharing-agreement,german,2025-02-25
