,source,target,relationship,sentiment,url,date
1121,Donald Trump,Facebook,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,2024-10-08
1122,Donald Trump,US Postal Service,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,2024-10-08
1123,Donald Trump,General Motors,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,2024-10-08
1124,JD Vance,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,2024-10-08
1125,Eric Schmitt,Deloitte,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,2024-10-08
1126,Kamala Harris,Deloitte,opposes,NEUTRAL,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,2024-10-08
1127,Donald Trump,FEMA,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1128,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1129,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1130,Donald Trump,Tim Walz,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1131,Kamala Harris,Joe Biden,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1132,Donald Trump,The New York Times,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1133,Donald Trump,Joe Biden,accuses,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1134,Donald Trump,China,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1135,Meghan McCain,Kamala Harris,criticizes,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,2024-10-10
1136,Donald Trump,Mexico,accuses,HOSTILE,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,2024-10-10
1137,Donald Trump,Canada,accuses,HOSTILE,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,2024-10-10
1138,Donald Trump,American auto industry,supports,FRIENDLY,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,2024-10-10
1139,Donald Trump,American auto industry,represents,NEUTRAL,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,2024-10-10
1140,Howard Gleckman,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,2024-10-10
1141,Kamala Harris,US,represents,NEUTRAL,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,2024-10-10
1142,Donald Trump,Democratic Party,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1143,Donald Trump,Adam Schiff,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1144,Adam Schiff,Donald Trump,opposes,NEUTRAL,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1145,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1146,Donald Trump,Russia,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1147,Donald Trump,Joe Biden,opposes,NEUTRAL,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1148,Republican Party,Adam Schiff,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1149,Adam Schiff,2016 Trump campaign's contacts with Russia,investigates,NEUTRAL,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,2024-10-13
1150,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/totally-illegal-trump-escalates-rhetoric-outlawing-political-dissent-c-rcna174280,2024-10-13
1151,Donald Trump,Joe Biden,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/totally-illegal-trump-escalates-rhetoric-outlawing-political-dissent-c-rcna174280,2024-10-13
1152,Donald Trump,Adam Schiff,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/totally-illegal-trump-escalates-rhetoric-outlawing-political-dissent-c-rcna174280,2024-10-13
1153,Donald Trump,Democratic Party,accuses,HOSTILE,https://www.nbcnews.com/politics/2024-election/totally-illegal-trump-escalates-rhetoric-outlawing-political-dissent-c-rcna174280,2024-10-13
1154,John Fetterman,Kamala Harris,supports,FRIENDLY,https://www.nbcnews.com/politics/2024-election/totally-illegal-trump-escalates-rhetoric-outlawing-political-dissent-c-rcna174280,2024-10-13
1155,Ruth Ben-Ghiat,Donald Trump,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/totally-illegal-trump-escalates-rhetoric-outlawing-political-dissent-c-rcna174280,2024-10-13
1156,Donald Trump,Erie,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1157,Donald Trump,Erie,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1158,Donald Trump,El Paso,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1159,Donald Trump,Spokane,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1160,Donald Trump,Missoula County,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1161,Donald Trump,Mesa,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1162,Bernie Sanders,Spokane,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1163,Hillary Clinton,Spokane,opposes,HOSTILE,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1164,Laura Cruz Acosta,El Paso,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1165,Erin Hut,Spokane,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1166,Allison Franz,Missoula County,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1167,Nancy Sorensen,Mesa,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1168,Ana Pereira,Mesa,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1169,Rob Lee,Erie,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1170,Kamala Harris,White House,represents,NEUTRAL,https://www.nbcnews.com/politics/2024-election/cities-seek-750k-unpaid-bills-trump-campaign-events-rcna174757,2024-10-11
1171,Elon Musk,America PAC,supports,FRIENDLY,https://www.nbcnews.com/tech/tech-news/musk-pac-signature-47-pay-refer-swing-state-voters-sign-petition-rcna174310,2024-10-07
1172,America PAC,Donald Trump,supports,FRIENDLY,https://www.nbcnews.com/tech/tech-news/musk-pac-signature-47-pay-refer-swing-state-voters-sign-petition-rcna174310,2024-10-07
1173,OpenSecrets,Republican Party,supports,FRIENDLY,https://www.nbcnews.com/tech/tech-news/musk-pac-signature-47-pay-refer-swing-state-voters-sign-petition-rcna174310,2024-10-07
1174,OpenSecrets,Democratic Party,opposes,HOSTILE,https://www.nbcnews.com/tech/tech-news/musk-pac-signature-47-pay-refer-swing-state-voters-sign-petition-rcna174310,2024-10-07
1175,Elon Musk,Donald Trump,endorses,FRIENDLY,https://www.nbcnews.com/tech/tech-news/musk-pac-signature-47-pay-refer-swing-state-voters-sign-petition-rcna174310,2024-10-07
1176,Elon Musk,America PAC,partners with,NEUTRAL,https://www.nbcnews.com/tech/tech-news/musk-pac-signature-47-pay-refer-swing-state-voters-sign-petition-rcna174310,2024-10-07
1177,Donald Trump,Iowa caucuses,won,NEUTRAL,https://www.nbcnews.com/politics/2024-primary-elections/calendar,2024-10-12
1178,Donald Trump,New Hampshire,won,NEUTRAL,https://www.nbcnews.com/politics/2024-primary-elections/calendar,2024-10-12
1179,Joe Biden,New Hampshire primary,won,NEUTRAL,https://www.nbcnews.com/politics/2024-primary-elections/calendar,2024-10-12
1180,Donald Trump,Republican Party,partners with,NEUTRAL,https://www.npr.org/2024/10/12/nx-s1-5147789/voting-election-2024-noncitizen-fact-check-trump,2024-10-12
1181,Donald Trump,Jesse Richman,criticizes,NEUTRAL,https://www.npr.org/2024/10/12/nx-s1-5147789/voting-election-2024-noncitizen-fact-check-trump,2024-10-12
1182,Donald Trump,2024 election,opposes,HOSTILE,https://www.npr.org/2024/10/12/nx-s1-5147789/voting-election-2024-noncitizen-fact-check-trump,2024-10-12
1183,Sylvia Albert,voter rights,supports,FRIENDLY,https://www.npr.org/2024/10/12/nx-s1-5147789/voting-election-2024-noncitizen-fact-check-trump,2024-10-12
1184,Donald Trump,election,criticizes,HOSTILE,https://www.npr.org/2024/10/12/nx-s1-5147789/voting-election-2024-noncitizen-fact-check-trump,2024-10-12
1185,Donald Trump,US,criticizes,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147732/voter-fraud-explainer,2024-10-11
1186,Frank LaRose,Ohio,leads,NEUTRAL,https://www.npr.org/2024/10/11/nx-s1-5147732/voter-fraud-explainer,2024-10-11
1187,Alice Clapman,voter fraud,criticizes,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147732/voter-fraud-explainer,2024-10-11
1188,FEMA,southeast,supports,NEUTRAL,https://www.npr.org/2024/10/07/nx-s1-5144159/fema-funding-migrants-disaster-relief-fund,2024-10-07
1189,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.npr.org/2024/10/07/nx-s1-5144159/fema-funding-migrants-disaster-relief-fund,2024-10-07
1190,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.npr.org/2024/10/07/nx-s1-5144159/fema-funding-migrants-disaster-relief-fund,2024-10-07
1191,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.npr.org/2024/10/07/nx-s1-5144159/fema-funding-migrants-disaster-relief-fund,2024-10-07
1192,Joe Biden,Congress,leads,NEUTRAL,https://www.npr.org/2024/10/07/nx-s1-5144159/fema-funding-migrants-disaster-relief-fund,2024-10-07
1193,Mike Johnson,disaster relief,opposes,NEUTRAL,https://www.npr.org/2024/10/07/nx-s1-5144159/fema-funding-migrants-disaster-relief-fund,2024-10-07
1194,Donald Trump,Aurora,criticizes,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1195,Donald Trump,Aurora,accuses,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1196,Donald Trump,Mike Coffman,opposes,NEUTRAL,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1197,Donald Trump,Jared Polis,criticizes,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1198,Donald Trump,Kamala,accuses,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1199,Mike Coffman,Donald Trump,criticizes,NEUTRAL,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1200,Jared Polis,Donald Trump,criticizes,HOSTILE,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1201,Ben Feeney,Donald Trump,supports,FRIENDLY,https://www.npr.org/2024/10/11/nx-s1-5147400/donald-trump-aurora-colorado-rally,2024-10-11
1202,Donald Trump,Theo Von,partners with,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1203,Donald Trump,Nelk Boys,partners with,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1204,Donald Trump,Logan Paul,partners with,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1205,Donald Trump,Adin Ross,partners with,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1206,Donald Trump,Kamala Harris,opposes,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1207,Donald Trump,Dustin Poirier,supports,FRIENDLY,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1208,Kamala Harris,young women,supports,FRIENDLY,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1209,Logan Paul,Donald Trump,partners with,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1210,Nelk Boys,Donald Trump,supports,FRIENDLY,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1211,Donald Trump,Garrett,supports,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1212,Kamala Harris,young men,opposes,NEUTRAL,https://www.bbc.com/news/articles/cj9j43890k7o,2024-10-12
1213,Donald Trump,Republican Party,partners with,NEUTRAL,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1214,Donald Trump,Kamala Harris,opposes,HOSTILE,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1215,Republican Party,Democratic Party,criticizes,HOSTILE,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1216,Jasleen Singh,Brennan Center for Justice,represents,NEUTRAL,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1217,Mike Johnson,CNN,partners with,NEUTRAL,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1218,Donald Trump,US election,opposes,HOSTILE,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1219,Ann Wagner,US election,opposes,HOSTILE,https://www.bbc.com/news/articles/c5yj98grr5lo,2024-10-12
1220,Ursula von der Leyen,European Parliament,leads,NEUTRAL,https://www.politico.eu/article/eu-year-of-doing-nothing-ukraine-elections-parliament-delays/,2024-10-10
1221,Kamala Harris,Ukraine,supports,FRIENDLY,https://www.politico.eu/article/eu-year-of-doing-nothing-ukraine-elections-parliament-delays/,2024-10-10
1222,Joe Biden,Ukraine,supports,FRIENDLY,https://www.politico.eu/article/eu-year-of-doing-nothing-ukraine-elections-parliament-delays/,2024-10-10
1223,Donald Trump,Ukraine,opposes,HOSTILE,https://www.politico.eu/article/eu-year-of-doing-nothing-ukraine-elections-parliament-delays/,2024-10-10
1224,Donald Trump,Russia,supports,NEUTRAL,https://www.politico.eu/article/eu-year-of-doing-nothing-ukraine-elections-parliament-delays/,2024-10-10
1225,EU,Ukraine,supports,NEUTRAL,https://www.politico.eu/article/eu-year-of-doing-nothing-ukraine-elections-parliament-delays/,2024-10-10
1226,Republicans Overseas,Donald Trump,supports,FRIENDLY,https://www.politico.eu/article/donald-trump-americans-abroad-us-election-double-tax-irs/,2024-10-10
1227,Elon Musk,Donald Trump,supports,FRIENDLY,https://www.politico.eu/article/donald-trump-nigel-farage-supporters-maga-politics-uk-elections/,2024-10-07
1228,JD Vance,Donald Trump,supports,FRIENDLY,https://www.politico.eu/article/donald-trump-nigel-farage-supporters-maga-politics-uk-elections/,2024-10-07
1229,Farage,Donald Trump,supports,FRIENDLY,https://www.politico.eu/article/donald-trump-nigel-farage-supporters-maga-politics-uk-elections/,2024-10-07
1230,Farage,Reform UK,leads,NEUTRAL,https://www.politico.eu/article/donald-trump-nigel-farage-supporters-maga-politics-uk-elections/,2024-10-07
1231,John F. Kelly,Donald Trump,criticizes,HOSTILE,https://www.nytimes.com/2024/10/22/us/politics/john-kelly-trump-fitness-character.html,2024-10-22
1232,Donald Trump,John F. Kelly,accuses,NEUTRAL,https://www.nytimes.com/2024/10/22/us/politics/john-kelly-trump-fitness-character.html,2024-10-22
1233,John F. Kelly,Donald Trump,opposes,HOSTILE,https://www.nytimes.com/2024/10/22/us/politics/john-kelly-trump-fitness-character.html,2024-10-22
1234,Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.nytimes.com/2024/10/20/us/politics/trump-arnold-palmer-kamala-harris.html,2024-10-20
1235,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nytimes.com/2024/10/20/us/politics/trump-arnold-palmer-kamala-harris.html,2024-10-20
1236,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.nytimes.com/2024/10/20/us/politics/trump-arnold-palmer-kamala-harris.html,2024-10-20
1237,Al Sharpton,Kamala Harris,partners with,NEUTRAL,https://www.nytimes.com/2024/10/20/us/politics/trump-arnold-palmer-kamala-harris.html,2024-10-20
1238,Donald Trump,Vladimir Putin,supports,FRIENDLY,https://www.nytimes.com/2024/10/15/us/politics/trump-opponents-enemy-within.html,2024-10-15
1239,Donald Trump,Viktor Orbán,supports,FRIENDLY,https://www.nytimes.com/2024/10/15/us/politics/trump-opponents-enemy-within.html,2024-10-15
1240,Ian Bassin,Barack Obama,worked for,NEUTRAL,https://www.nytimes.com/2024/10/15/us/politics/trump-opponents-enemy-within.html,2024-10-15
1241,Donald Trump,American citizens,opposes,HOSTILE,https://www.nytimes.com/2024/10/15/us/politics/trump-opponents-enemy-within.html,2024-10-15
1242,Mr. Trump,Republican,supports,NEUTRAL,https://www.nytimes.com/2024/10/22/upshot/polling-errors-2024-election.html,2024-10-22
1243,Kamala Harris,Joe Biden,criticizes,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1244,Donald Trump,Adam Schiff,accuses,HOSTILE,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1245,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1246,Tim Walz,Democratic Party,represents,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1247,Donald Trump,Jan. 6 insurrection,supports,HOSTILE,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1248,Donald Trump,Univision,partners with,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1249,Kamala Harris,Fox News,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/17/campaign-moment/,2024-10-17
1250,Donald Trump,Pennsylvania,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1251,Kamala Harris,Pennsylvania,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1252,Donald Trump,Georgia,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1253,Kamala Harris,Georgia,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1254,Donald Trump,North Carolina,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1255,Kamala Harris,North Carolina,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1256,Donald Trump,Michigan,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1257,Kamala Harris,Michigan,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1258,Donald Trump,Arizona,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1259,Kamala Harris,Arizona,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1260,Donald Trump,Wisconsin,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1261,Kamala Harris,Wisconsin,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1262,Donald Trump,Nevada,supports,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1263,Kamala Harris,Nevada,opposes,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1264,Donald Trump,Republican Party,represents,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1265,Kamala Harris,Democratic Party,represents,NEUTRAL,https://www.washingtonpost.com/elections/interactive/2024/2024-swing-states-trump-harris/,2024-10-21
1266,Robert F. Kennedy Jr.,Donald Trump,partners with,NEUTRAL,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1267,Donald Trump,Robert F. Kennedy Jr.,supports,FRIENDLY,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1268,Robert F. Kennedy Jr.,Republican Party,partners with,NEUTRAL,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1269,Robert F. Kennedy Jr.,America,supports,FRIENDLY,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1270,Donald Trump,America,supports,FRIENDLY,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1271,Robert F. Kennedy Jr.,Vaccines,opposes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1272,Donald Trump,Democratic Party,opposes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1273,Donald Trump,Public health agencies,criticizes,NEUTRAL,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1274,Robert F. Kennedy Jr.,Public health agencies,criticizes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1275,Robert F. Kennedy Jr.,Donald Trump,endorses,NEUTRAL,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1276,Robert F. Kennedy Jr.,The Democrats,opposes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1277,Donald Trump,Robert F. Kennedy Jr.,criticizes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1278,Joe Biden,Robert F. Kennedy Jr.,opposes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1279,Calley Means,Donald Trump,supports,FRIENDLY,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1280,Robert F. Kennedy Jr.,FDA,criticizes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1281,Donald Trump,FDA,criticizes,HOSTILE,https://www.washingtonpost.com/health/2024/10/18/trump-rfk-maha-health/,2024-10-18
1282,Ryan Lizza,Olivia Nuzzi,accuses,HOSTILE,https://www.cnn.com/2024/10/15/media/olivia-nuzzi-rfk-ryan-lizza-court/index.html,2024-10-15
1283,Olivia Nuzzi,Ryan Lizza,accuses,HOSTILE,https://www.cnn.com/2024/10/15/media/olivia-nuzzi-rfk-ryan-lizza-court/index.html,2024-10-15
1284,Robert F. Kennedy Jr.,Olivia Nuzzi,partners with,NEUTRAL,https://www.cnn.com/2024/10/15/media/olivia-nuzzi-rfk-ryan-lizza-court/index.html,2024-10-15
1285,Ryan Lizza,Robert F. Kennedy Jr.,criticizes,HOSTILE,https://www.cnn.com/2024/10/15/media/olivia-nuzzi-rfk-ryan-lizza-court/index.html,2024-10-15
1286,Elon Musk,Donald Trump,supports,FRIENDLY,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1287,Josh Shapiro,Elon Musk,criticizes,HOSTILE,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1288,Derek Muller,Elon Musk,criticizes,NEUTRAL,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1289,David Becker,Elon Musk,criticizes,HOSTILE,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1290,Rick Hasen,Elon Musk,criticizes,HOSTILE,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1291,Jocelyn Benson,Elon Musk,criticizes,HOSTILE,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1292,Elon Musk,Pennsylvania,supports,NEUTRAL,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1293,Donald Trump,Pennsylvania,supports,NEUTRAL,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1294,Elon Musk,Trump voters,supports,FRIENDLY,https://www.cnn.com/2024/10/20/politics/elon-musk-voter-giveaway-legal-questions/index.html,2024-10-20
1295,Donald Trump,John Deere,criticizes,HOSTILE,https://www.cnn.com/2024/10/16/politics/trump-fact-check-john-deere-economy/index.html,2024-10-16
1296,Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/10/16/politics/trump-fact-check-john-deere-economy/index.html,2024-10-16
1297,Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/10/16/politics/trump-fact-check-john-deere-economy/index.html,2024-10-16
1298,Donald Trump,Barack Obama,criticizes,HOSTILE,https://www.cnn.com/2024/10/16/politics/trump-fact-check-john-deere-economy/index.html,2024-10-16
1299,Donald Trump,South Korea,criticizes,HOSTILE,https://www.cnn.com/2024/10/16/politics/trump-fact-check-john-deere-economy/index.html,2024-10-16
1300,Joe Biden,South Korea,supports,FRIENDLY,https://www.cnn.com/2024/10/16/politics/trump-fact-check-john-deere-economy/index.html,2024-10-16
